1,Glory to God in the highest! Glory to God! Glory to God!
2,Glory to God in the highest! Praise Him forevermore.
3,Praise Him from whom all blessings flow;
4,Praise Him all creatures here below;
5,Praise Him above ye heav'nly hosts;
6,"Praise Father, Son, and Holy Ghost."
7,Glory to God in the highest! Glory to God in the highest!
8,"Glory, glory, glory, glory, glory to God in the highest!"
9,榮耀歸與至高神！榮耀歸神！榮耀歸神！
10,榮耀歸與至高神！讚美讚美不盡。
11,讚美真神萬福源頭﹐
12,天下萬有讚祂不休﹐
13,天上眾軍和聲響應
14,讚美聖父、聖子、聖靈。
15,榮耀歸與至高神！榮耀歸與至高神！
16,榮耀﹐榮耀﹐榮耀﹐榮耀﹐榮耀歸與至高神！
17,"Holy, holy, holy, Lord God Almighty!"
18,Early in the morning our song shall rise to Thee;
19,"Holy, holy, holy, Merciful and Mighty!"
20,"God in Three Persons, blessed Trinity!"
21,"Holy, holy, holy! All the saints adore Thee,"
22,Casting down their golden crowns around the glassy sea;
23,"Cherubim and seraphim falling down before Thee,"
24,"Which wert and art, and evermore shalt be."
25,"Holy, holy, holy! Tho' the darkness hide Thee,"
26,"Tho' the eye of sinful man Thy glory may not see,"
27,Only Thou art holy; there is none beside Thee
28,"Perfect in power, in love, and purity."
29,"All Thy works shall praise Thy name, in earth, and sky, and sea;"
30,"Holy, holy, holy, Merciful and Mighty,"
31,聖哉、聖哉、聖哉﹐全能的主神﹗
32,清晨我們歌聲穿雲透天而來﹔
33,聖哉、聖哉、聖哉﹐全能而又慈愛﹐
34,一神別三位﹐三位是一身﹗
35,聖哉、聖哉、聖哉﹐萬眾都敬祢﹐
36,投下黃金冠冕﹐圍繞玻璃之海﹔
37,基路伯﹐撒拉弗﹐無不俯伏敬拜
38,這昔在、今在、永遠常在的。
39,聖哉、聖哉、聖哉﹐黑暗雖藏祢﹐
40,有罪污穢的人雖不能見祢身﹔
41,但祢仍是聖哉﹐祢外再無別人
42,能有這全愛、全潔與全力。
43,祢的造物讚美於地、於天、於海﹔
44,聖哉、聖哉、聖哉﹐公義而又慈愛﹐
45,一神別三位﹐三位是一身。
46,"Praise God, from whom all blessings flow;"
47,"Praise Him, all creatures here below;"
48,"Praise Him above, ye heav'nly host;"
49,"Praise Father, Son, and Holy Ghost. Amen."
50,讚美真神﹐萬福源頭﹐
51,天下萬有讚祂不休﹔
52,天上眾軍和聲響應﹐
53,讚美聖父、聖子、聖靈。阿們。
54,Praise ye the Father! Let ev'ry heart give thanks to Him!
55,Praise ye the Father who is ever kind and merciful!
56,"Praise ye the Father, who noteth ev'ry sparrow's fall!"
57,O King of Glory! Let all earth proclaim Thy majesty!
58,"Sing of the Lord, ev'ry voice proclaim His pow'r!"
59,"Who bringeth joy to the world,"
60,And whose mercy endureth forever!
61,He hath made all the world and the heav'n above us!
62,"In His strength, in His love, He ruleth the world;"
63,"Arise, and praise ye the Father!"
64,"Praise be to the Father, to the Son, and Holy Spirit!"
65,"Praise Him, ev'ry nation, all the earth shall rejoice in Him!"
66,Glory to the Lord our King! Glory to His everlasting Name!
